"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
25.6807737208459,-1.05993695510177,0.613023326142058,-1.72903201216221,0.0838033658762691,0.277258431973908,"ENST00000399744"
0.147865458792882,0.513097879326359,4.0804728567969,0.125744710805191,0.899934008629435,NA,"ENST00000474897"
0,NA,NA,NA,NA,NA,"ENST00000622035"
0,NA,NA,NA,NA,NA,"ENST00000428061"
0.578929988684747,0.920876261649723,4.00470177874131,0.2299487733489,0.818131575987037,NA,"ENST00000427227"
0,NA,NA,NA,NA,NA,"ENST00000450866"
0,NA,NA,NA,NA,NA,"ENST00000446487"
2.66899313084275,-5.08214082482559,2.1924172302661,-2.31805367822655,0.020446403952693,0.107229883731875,"ENST00000426208"
30.5418170690639,-8.59956346239962,1.53787644326018,-5.59184289484869,2.24672068363519e-08,8.38410401454108e-07,"ENST00000316027"
81.8786035474454,-1.22451014252046,0.546378038770418,-2.2411408505293,0.0250169528211476,0.12467732187738,"ENST00000623543"
16.4997471964481,-4.97469278537769,1.46899808156057,-3.38645288092745,0.000708024339944423,0.00716011494114783,"ENST00000330423"
0,NA,NA,NA,NA,NA,"ENST00000416740"
2.75895619553522,-2.44617791872696,1.321946047401,-1.85043703072167,0.0642505859218635,0.239764381610857,"ENST00000608634"
